violation,strategy,language,accuracy,precision,recall,f1_score,support
DIP,default,C#,0.0,0.0,0.0,0.0,48
DIP,default,JAVA,0.0,0.0,0.0,0.0,48
DIP,default,KOTLIN,0.0,0.0,0.0,0.0,48
DIP,default,PYTHON,0.0,0.0,0.0,0.0,48
DIP,ensemble,C#,0.021,1.0,0.021,0.041,48
DIP,ensemble,JAVA,0.042,1.0,0.042,0.08,48
DIP,ensemble,KOTLIN,0.0,0.0,0.0,0.0,48
DIP,ensemble,PYTHON,0.0,0.0,0.0,0.0,48
DIP,example,C#,0.083,1.0,0.083,0.154,48
DIP,example,JAVA,0.104,1.0,0.104,0.189,48
DIP,example,KOTLIN,0.021,1.0,0.021,0.041,48
DIP,example,PYTHON,0.042,1.0,0.042,0.08,48
DIP,smell,C#,0.042,1.0,0.042,0.08,48
DIP,smell,JAVA,0.021,1.0,0.021,0.041,48
DIP,smell,KOTLIN,0.021,1.0,0.021,0.041,48
DIP,smell,PYTHON,0.0,0.0,0.0,0.0,48
ISP,default,CSHARP,0.542,1.0,0.542,0.703,48
ISP,default,JAVA,0.417,1.0,0.417,0.588,48
ISP,default,KOTLIN,0.396,1.0,0.396,0.567,48
ISP,default,PYTHON,0.417,1.0,0.417,0.588,48
ISP,ensemble,CSHARP,0.292,1.0,0.292,0.452,48
ISP,ensemble,JAVA,0.229,1.0,0.229,0.373,48
ISP,ensemble,KOTLIN,0.188,1.0,0.188,0.316,48
ISP,ensemble,PYTHON,0.208,1.0,0.208,0.345,48
ISP,example,CSHARP,0.333,1.0,0.333,0.5,48
ISP,example,JAVA,0.375,1.0,0.375,0.545,48
ISP,example,KOTLIN,0.312,1.0,0.312,0.476,48
ISP,example,PYTHON,0.292,1.0,0.292,0.452,48
ISP,smell,CSHARP,0.271,1.0,0.271,0.426,48
ISP,smell,JAVA,0.25,1.0,0.25,0.4,48
ISP,smell,KOTLIN,0.229,1.0,0.229,0.373,48
ISP,smell,PYTHON,0.208,1.0,0.208,0.345,48
LSP,default,C#,0.208,1.0,0.208,0.345,48
LSP,default,JAVA,0.229,1.0,0.229,0.373,48
LSP,default,KOTLIN,0.229,1.0,0.229,0.373,48
LSP,default,PYTHON,0.188,1.0,0.188,0.316,48
LSP,ensemble,C#,0.25,1.0,0.25,0.4,48
LSP,ensemble,JAVA,0.417,1.0,0.417,0.588,48
LSP,ensemble,KOTLIN,0.354,1.0,0.354,0.523,48
LSP,ensemble,PYTHON,0.25,1.0,0.25,0.4,48
LSP,example,C#,0.396,1.0,0.396,0.567,48
LSP,example,JAVA,0.333,1.0,0.333,0.5,48
LSP,example,KOTLIN,0.375,1.0,0.375,0.545,48
LSP,example,PYTHON,0.312,1.0,0.312,0.476,48
LSP,smell,C#,0.125,1.0,0.125,0.222,48
LSP,smell,JAVA,0.125,1.0,0.125,0.222,48
LSP,smell,KOTLIN,0.167,1.0,0.167,0.286,48
LSP,smell,PYTHON,0.104,1.0,0.104,0.189,48
OCP,default,CSHARP,0.396,1.0,0.396,0.567,48
OCP,default,JAVA,0.312,1.0,0.312,0.476,48
OCP,default,KOTLIN,0.312,1.0,0.312,0.476,48
OCP,default,PYTHON,0.312,1.0,0.312,0.476,48
OCP,ensemble,CSHARP,0.562,1.0,0.562,0.72,48
OCP,ensemble,JAVA,0.646,1.0,0.646,0.785,48
OCP,ensemble,KOTLIN,0.625,1.0,0.625,0.769,48
OCP,ensemble,PYTHON,0.604,1.0,0.604,0.753,48
OCP,example,CSHARP,0.5,1.0,0.5,0.667,48
OCP,example,JAVA,0.5,1.0,0.5,0.667,48
OCP,example,KOTLIN,0.542,1.0,0.542,0.703,48
OCP,example,PYTHON,0.458,1.0,0.458,0.629,48
OCP,smell,CSHARP,0.104,1.0,0.104,0.189,48
OCP,smell,JAVA,0.062,1.0,0.062,0.118,48
OCP,smell,KOTLIN,0.062,1.0,0.062,0.118,48
OCP,smell,PYTHON,0.062,1.0,0.062,0.118,48
SRP,default,CSHARP,0.75,1.0,0.75,0.857,48
SRP,default,JAVA,0.729,1.0,0.729,0.843,48
SRP,default,KOTLIN,0.667,1.0,0.667,0.8,48
SRP,default,PYTHON,0.667,1.0,0.667,0.8,48
SRP,ensemble,CSHARP,0.542,1.0,0.542,0.703,48
SRP,ensemble,JAVA,0.562,1.0,0.562,0.72,48
SRP,ensemble,KOTLIN,0.583,1.0,0.583,0.737,48
SRP,ensemble,PYTHON,0.521,1.0,0.521,0.685,48
SRP,example,CSHARP,0.708,1.0,0.708,0.829,48
SRP,example,JAVA,0.688,1.0,0.688,0.815,48
SRP,example,KOTLIN,0.688,1.0,0.688,0.815,48
SRP,example,PYTHON,0.625,1.0,0.625,0.769,48
SRP,smell,CSHARP,0.688,1.0,0.688,0.815,48
SRP,smell,JAVA,0.688,1.0,0.688,0.815,48
SRP,smell,KOTLIN,0.667,1.0,0.667,0.8,48
SRP,smell,PYTHON,0.667,1.0,0.667,0.8,48
