violation,strategy,accuracy,precision,recall,f1_score,support
DIP,default,0.0,0.0,0.0,0.0,192
DIP,ensemble,0.016,1.0,0.016,0.031,192
DIP,example,0.062,1.0,0.062,0.118,192
DIP,smell,0.021,1.0,0.021,0.041,192
ISP,default,0.443,1.0,0.443,0.614,192
ISP,ensemble,0.229,1.0,0.229,0.373,192
ISP,example,0.328,1.0,0.328,0.494,192
ISP,smell,0.24,1.0,0.24,0.387,192
LSP,default,0.214,1.0,0.214,0.352,192
LSP,ensemble,0.318,1.0,0.318,0.482,192
LSP,example,0.354,1.0,0.354,0.523,192
LSP,smell,0.13,1.0,0.13,0.23,192
OCP,default,0.333,1.0,0.333,0.5,192
OCP,ensemble,0.609,1.0,0.609,0.757,192
OCP,example,0.5,1.0,0.5,0.667,192
OCP,smell,0.073,1.0,0.073,0.136,192
SRP,default,0.703,1.0,0.703,0.826,192
SRP,ensemble,0.552,1.0,0.552,0.711,192
SRP,example,0.677,1.0,0.677,0.807,192
SRP,smell,0.677,1.0,0.677,0.807,192
